to_country_remittances,from_country_remittances,2017_USDM_remittances
China,Philippines,160.8713004
Niger,Nigeria,160.843761
Gambia,United States of America,160.4695662
Ghana,Togo,160.4116109
Netherlands,United Kingdom,159.4283525
Ukraine,Portugal,158.8404641
Sri Lanka,United States of America,158.0380677
United States of America,Republic of Korea,157.0610512
Bosnia and Herzegovina,United States of America,155.786821
Trinidad and Tobago,United States of America,155.4305497
Sri Lanka,France,154.757875
Lao People's Democratic Republic,Thailand,154.5345277
Kenya,Uganda,154.4795811
France,Mexico,154.0879065
Denmark,United Kingdom,153.9695567
Mali,France,153.6969991
South Sudan,Ethiopia,153.2834346
Egypt,Netherlands,153.1856071
France,New Zealand,153.1839941
India,Belgium,153.0635024
Belgium,Romania,152.8799553
Montenegro,Germany,152.6101572
Egypt,State of Palestine,152.5191648
Brazil,Germany,152.4975312
Denmark,United States of America,152.4313084
Malaysia,Bangladesh,151.3089549
Austria,Turkey,150.3245344
Serbia,Slovenia,150.2994512
Sri Lanka,Germany,150.1288851
Australia,United States of America,149.711639
Czechia,Austria,149.5290245
France,Congo,149.4517106
Democratic Republic of the Congo,Belgium,147.8943217
France,Central African Republic,147.7605197
Bermuda,Canada,147.748739
China,Myanmar,147.5665977
Italy,Brazil,147.1215081
Ecuador,Chile,146.3845417
France,Austria,145.8515622
Japan,Republic of Korea,145.7449892
Côte d'Ivoire,Burkina Faso,145.3126799
Ethiopia,United States of America,144.9799109
Uganda,South Sudan,144.6695794
France,Madagascar,144.6551432
Malaysia,Australia,144.2542954
Sudan,Chad,144.2482128
Brazil,Paraguay,143.7344286
India,Switzerland,143.6949343
Latvia,Germany,143.4819801
Pakistan,Norway,143.4447747
Indonesia,Oman,142.8795737
Belgium,Greece,141.8823741
Norway,Sweden,141.7364598
Pakistan,Sweden,141.2954924
Poland,Sweden,141.2036226
China,Switzerland,141.1530169
Spain,Mexico,140.8279088
Poland,Italy,140.7752436
Netherlands,Spain,140.1449951
Poland,Spain,139.8507357
Colombia,Panama,139.673086
France,South Africa,138.8671879
Japan,France,137.4450008
Ukraine,Italy,136.9470204
Philippines,Guam,136.8108078
Nepal,Republic of Korea,136.7517468
Romania,Israel,136.5982888
India,Ireland,136.4186394
Croatia,Switzerland,135.546882
Egypt,Austria,135.5035737
Israel,Netherlands,135.473119
Thailand,Netherlands,135.3998638
France,Chile,135.0036914
United States of America,Japan,134.6501356
Estonia,Finland,134.321993
China,Peru,134.2282655
Hungary,Switzerland,134.0649674
Germany,New Zealand,133.8706688
Georgia,Azerbaijan,133.5509863
France,Tunisia,133.4145551
United States of America,France,133.4038025
Fiji,New Zealand,133.0577191
Cyprus,United States of America,132.9516043
Thailand,Brunei Darussalam,132.5444172
Thailand,Canada,131.9889482
Georgia,United States of America,131.7810252
Austria,United Kingdom,131.6117045
France,Denmark,131.4198099
Egypt,Sudan,131.1687425
Poland,France,130.3562394
Australia,New Zealand,130.2075674
Albania,United States of America,129.9553301
Nicaragua,Spain,129.8862755
Kenya,Germany,129.6351183
Republic of Korea,Germany,128.4894183
Philippines,France,127.9609908
Japan,Indonesia,127.8229844
North Macedonia,Germany,127.7625343
Ghana,Canada,127.2660366
Azerbaijan,Turkey,127.1653749
Lebanon,United Kingdom,126.4400903
Spain,Andorra,126.3926353
India,Bangladesh,126.2155614
United States of America,Spain,126.1889186
Italy,Netherlands,125.3099087
South Africa,United States of America,125.2699127
Luxembourg,Italy,124.9449033
Myanmar,United States of America,124.519351
Thailand,Denmark,124.1702804
Spain,Chile,124.1262689
Ukraine,Romania,124.0254375
United States of America,Italy,123.9247468
Luxembourg,Portugal,123.7900428
Jordan,Oman,123.6771113
India,South Africa,123.6687129
Tajikistan,Ukraine,123.4240547
Afghanistan,Iran (Islamic Republic of),123.3889428
Colombia,Italy,123.3451707
Denmark,Norway,123.092453
China,Dem. People's Republic of Korea,122.9497451
Japan,Malaysia,122.6725135
Mali,Nigeria,122.4446135
United Kingdom,France,122.4333918
Nigeria,Netherlands,121.568339
Albania,Germany,120.3232824
France,Argentina,120.1182952
Jordan,Libya,119.6543596
Thailand,Malaysia,119.5709348
Slovakia,Switzerland,118.3993193
Colombia,Australia,118.2608803
Eswatini,South Africa,117.9617215
Viet Nam,Sweden,117.3643073
Indonesia,Japan,116.7152719
Spain,Australia,116.5836601
Slovenia,Austria,116.4523171
Italy,Austria,116.3897638
Peru,Japan,115.8028943
Belize,United States of America,115.7189715
Togo,Benin,115.5043682
Togo,Ghana,115.4784737
France,Norway,115.1992852
Republic of Korea,Kazakhstan,114.7273843
Republic of Korea,Indonesia,114.7000585
Sri Lanka,Kuwait,114.6749619
Ukraine,Republic of Moldova,114.4801352
State of Palestine,Egypt,114.3861813
Malta,Australia,114.315586
Somalia,Yemen,114.2069247
Poland,Belgium,114.1644391
Ghana,Burkina Faso,113.7301747
Democratic Republic of the Congo,Rwanda,113.631755
France,Monaco,113.5722199
Colombia,France,113.1838267
Poland,Austria,113.1623184
Viet Nam,Bangladesh,112.8999058
Philippines,Ireland,112.7911566
Brazil,Australia,112.4138499
Somalia,Sweden,112.2916388
Tunisia,Germany,112.278967
Egypt,Israel,111.9487315
Kenya,Mozambique,111.7914062
China,Belgium,111.6312946
Sweden,Australia,111.3698923
Germany,Brazil,111.2263352
Republic of Korea,New Zealand,111.0759738
Israel,South Africa,111.0744717
Spain,Uruguay,110.3230724
Kyrgyzstan,Turkey,109.7140145
Kenya,United Republic of Tanzania,109.5130794
Nigeria,Austria,109.3936385
India,"China, Hong Kong SAR",109.1419249
Sri Lanka,Switzerland,109.0201443
Somalia,Libya,108.9321856
Mongolia,Russian Federation,108.6370001
Slovakia,Hungary,108.4635798
France,Peru,108.4111716
Thailand,United Arab Emirates,108.1758206
France,Mali,107.6967892
Denmark,Germany,107.0336757
Kenya,South Africa,106.8088819
Brazil,China,106.7358613
Belgium,Portugal,106.5543418
Luxembourg,United States of America,106.5496259
Benin,Nigeria,106.3082246
Jordan,Bahrain,106.2983469
Austria,Canada,106.1015589
Nepal,United Arab Emirates,105.8179972
"China, Hong Kong SAR",United States of America,105.6858661
Russian Federation,Estonia,105.3785037
Bangladesh,Maldives,105.2536968
Samoa,New Zealand,105.2052889
Zimbabwe,Australia,105.0370318
Georgia,Germany,104.9111762
Fiji,United States of America,104.5717983
United States of America,Bangladesh,104.1265147
Nigeria,Chad,104.1176171
Georgia,Armenia,103.7465318
China,Brazil,103.5454773
Indonesia,Qatar,103.5205865
Spain,Portugal,103.4955013
Indonesia,Republic of Korea,103.4260368
Ukraine,United Kingdom,103.2561068
Philippines,Singapore,103.138467
Lebanon,Denmark,103.0193822
Switzerland,United Kingdom,102.9754559
Sudan,United Arab Emirates,102.6578236
Japan,New Zealand,102.5342851
Egypt,Iraq,102.4283329
"China, Hong Kong SAR",Canada,102.4106338
Nigeria,Sweden,102.3182306
India,Myanmar,102.1515377
Republic of Moldova,United States of America,101.9331684
Brazil,Switzerland,101.8859917
Guatemala,Spain,101.8276266
Russian Federation,Israel,101.7820178
Cabo Verde,Portugal,100.7223929
India,Norway,100.6791576
Philippines,Netherlands,100.3976201
